CAMPO,CONTRATO,CUENCA,EMPRESA,DEPARTAMENTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Boa,Corcel,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Meta,0,0,0,0,0,0,0,0.6,0,0,0,0
Bolívar - Buenavista,Buenavista,Cordillera Oriental,UNION TEMPORAL OMEGA ENERGY,Boyacá,66,63,62,61,63,62,61,58,56,55,55,55
Bonanza,Provincia,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,1419,1351,1190,1269,1311,1245,1261,1293,1263,1195,1130,1227
Boquete,Cicuco Boquete,Valle Inferior del Magdalena,ECOPETROL S.A.,Bolívar,0,0,0,0,0,0,40,61,107,139,124,134
Boral,CEE Río Verde,Llanos Orientales,COLOMBIA ENERGY DEVELOPMENT CO.,Casanare,97,94,88,87,87,85,81,78,82,82,82,81
Brillante,Sierra Nevada,Valle Inferior del Magdalena,PETROLIFERA,Magdalena,0,0,0,0,1,2,2,0,0,0,0,0
Brisas,Neiva,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,242,287,290,264,288,288,270,275,253,242,259,274
Burdine,Nancy-Burdine-Maxine,Putumayo,UNION TEMPORAL II&B,Putumayo,117,2,0,68,35,8,40,42,7,0,0,74
Cabiona,Cabiona,Llanos Orientales,NEW GRANADA ENERGY CO.,Meta,889,840,809,795,791,709,677,697,724,696,678,857
Cachicamo - Andarrios,Cachicamo,Llanos Orientales,C&C ENERGÍA,Casanare,189,178,182,149,146,516,469,416,351,385,364,373
Caipal,Ermitaño,Valle Medio del Magdalena,ECOPETROL S.A.,Boyacá,496,483,485,476,480,483,499,530,514,520,490,505
Cajaro,Alcaravan,Llanos Orientales,COLOMBIA ENERGY DEVELOPMENT CO.,Casanare,0,0,0,4,0,0,0,0,0,0,0,0
Calacho,Llanos-21,Llanos Orientales,OMEGA ENERGY COLOMBIA,Casanare,0,0,0,0,6,0,0,0,0,0,0,0
Calamaro,Rondon,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,4277,2591,4141,0,0,0,0,0,0,0,0,0
Camoa,Camoa,Llanos Orientales,DRILLING AND WORKOVER SERVICES LTDA.,Meta,81,73,74,69,73,74,47,0,0,0,0,0
Campo Rico,Campo Rico,Llanos Orientales,EMERALD ENERGY PLC SUCURSAL COLOMBIA,Casanare,639,645,624,578,549,534,581,585,565,560,561,545
Canacabare,Alcaravan,Llanos Orientales,COLOMBIA ENERGY DEVELOPMENT CO.,Casanare,83,84,77,80,86,45,71,67,65,69,68,67
Canaguaro,Canaguaro,Llanos Orientales,CLEAN ENERGY RESOURCES S.A.,Casanare,465,330,487,476,416,263,0,1,39,0,0,0
Canaguey,Cosecha,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,3927,2152,3363,3791,3650,1353,2584,3505,2932,1843,3050,3114
Candalay,Garcero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,23,23,21,21,21,22,21,22,22,20,0,0
Candelilla,Guatiquia,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Meta,4276,4251,4186,3816,3769,3687,3540,3526,3541,3546,3541,3417
Caño Duya,Corocora,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,80,81,80,82,77,74,61,61,51,46,2,0
Caño Gandul,Corocora,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,346,364,361,365,367,359,352,347,354,341,68,319
Caño Garza,Casanare,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,113,114,107,100,108,105,107,132,107,102,97,95
Caño Garza Este,Casanare,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,120,110,117,115,113,84,33,36,30,27,31,30
Caño Garza Norte,Casanare,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,452,500,486,472,452,444,440,423,417,415,409,383
Caño Limón,Cravo Norte,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,36310,25114,31514,35837,36320,14260,33257,36294,30615,17478,34662,30221
Caño Rondón,Rondon,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,620,364,467,7590,7960,3932,8323,9147,9242,7550,10187,8822
Caño Rondón Este,Rondon,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,1996,932,1116,0,0,0,0,0,0,0,0,0
Caño Yarumal,Cravo Norte,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,6898,4854,5917,6796,7053,2641,6009,6948,5645,2716,6691,5402
Capella,Ombu,Llanos Orientales,EMERALD ENERGY PLC SUCURSAL COLOMBIA,N.D.,2610,2330,1167,2367,1517,1952,2364,1278,135,2154,2254,2373
Capybara,Castor,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Casanare,134,130,92,94,100,9,0,0,0,0,0,2
Caracara,Caracara,Llanos Orientales,CEPCOLSA,Meta,10708,10097,9620,9451,9324,9580,9817,9655,9544,9692,9534,10217
Carbonera La Silla,Carbonera La Silla,Catatumbo,MOMPOS OIL COMPANY INC.,Norte de Santander,20,21,21,24,25,20,4,27,22,14,21,19
Careto,Cubiro,Llanos Orientales,ALANGE ENERGY,Casanare,470,435,330,382,365,372,298,280,332,336,346,891
Caribe,Orito,Putumayo,ECOPETROL S.A.,Putumayo,678,693,491,1201,1382,1608,1495,1722,1533,1507,1378,982
Caricare,Rondon,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,7940,4598,11588,12145,10515,4565,7576,8906,6484,3870,7573,7530
Carrizales,Cravoviejo,Llanos Orientales,C&C ENERGÍA,Casanare,3415,3249,3282,3241,3057,3104,3104,3007,2856,2885,2860,3065
Carupana,Yamu,Llanos Orientales,GEOPARK COLOMBIA PN S.A,Casanare,585,609,595,561,525,450,375,415,349,347,332,336
Caruto,Corcel,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Casanare,623,615,665,498,639,573,861,853,842,833,826,820
Casabe,Casabe,Valle Medio del Magdalena,ECOPETROL S.A.,Antioquia,20218,18465,17998,18533,18518,18538,18131,17854,18041,17235,16644,17475
Casabe Sur,Casabe,Valle Medio del Magdalena,ECOPETROL S.A.,Antioquia,3793,4852,5054,4980,4790,4805,4361,4011,4252,4427,4033,3960
